id	name	doc	is_pii	langs	contexts	translations.ru.name	translations.ru.doc	links.url	links.type
orcid	Open Researcher and Contributor ID (ORCID)	The ORCID, Open Researcher and Contributor ID) is a nonproprietary alphanumeric code to uniquely identify authors and contributors of scholarly communication as well as ORCIDs website and services to look up authors and their bibliographic output (and other user-supplied pieces of information).	False	common	science			https://en.wikipedia.org/wiki/ORCID	wikipedia
orgname	Company name	Name of the organization/business/company in any language	False	ru,common	companies				
passport	Passport number (universal)	Person passport, usually unique personal information that should be shared online. Identifies personal document issued to person by government authority	True	ru,common	pii				
password	Password	Passwords, usually associated with login/username/email.	True	common	pii				
person_firstname	Person firstname	First name of the person. For example, Donald or Vladimir or Jack	True	ru,common	persons,pii				
person_fullname	Person fullname	Full name of the person as combination of last, first, and sometimes middle name	True	ru	persons,pii				
person_midname	Person middle name	Middle name of the person	True	ru,common	persons,pii				
person_surname	Person surname/lastname	Last name of the person. For example, Smith or Ivanova	True	ru,common	persons,pii				
phone	Phone number	Number of phone/fax	True	common,ru	pii,common				
postindex	Postal code/index	Postal index/code, unique post identifier used in address	True	common,ru	geo,pii,common	Почтовый индекс	Индекс почтовой связи		
ppocode	Russian public legal formation code	Russian public legal formation is a legal definition of public entity with right of administration of its level budget	False	ru	government	Код публично правового образования в РФ	Публично правовое образование - это организация/субъект федерации с правом распоряжения бюджетом своего уровня		
pponame	Russian public legal formation name	Russian public legal formation is a legal definition of public entity with right of administration of its level budget	False	ru	government	Наименование публично правового образования в РФ	Публично правовое образование - это организация/субъект федерации с правом распоряжения бюджетом своего уровня		
rnfi	Russian government property ID (RNFI)	Russian government federal property unique ID (RNFI)	False	ru	government				
ruikuiko	Russian government customers unique code	Unique code assigned to all government customers in Russian Federation	False	ru	government	Идентификационный код заказчика	Код присваиваемый государственным заказчикам в Российской Федерации		
ruikz	Russian government procurement unique id	Unique id assigned to all government procurement procedures in Russian Federation	False	ru	government	Идентификационный код закупки	Код присваиваемый государственным закупкам в Российской Федерации		
ruintpassport	Russian passport number	Number of Russian internal passport	True	ru	pii	Номер паспорта (РФ)	Номер внутреннего паспорта в Российской Федерации		
rukadastr	Russian land registry number	Russian land registry number (kadastroviy nomer, cadaster number) assigned to each land, territory, building and other geographic administrative objects by Rosreestr	False	ru	geo	Кадастровый номер	Када́стровый но́мер — уникальный номер объекта недвижимости, присваиваемый ему при осуществлении кадастрового и технического учёта.		
rumedicineregnum	Registration code of medicine (Russian)	Russian medicine registration code	False	ru	medical	Код регистрации лекарственного средства в России	Код регистрации лекарственного средства в России. Реестр Росздравнадзора 		
rumedicinetradename	Medicine trade name (Russian)	Trade name of the medicine in Russian.	False	ru	medical	Торговое наименование лекарственного средства	Торговое название для лекарственных средств		
rumedmnn	International nonproprietary name (Russia)	An international nonproprietary name (INN) is an official generic and non-proprietary name given to a pharmaceutical drug or an active ingredient. (Russian)	False	ru	medical	Международное непатентованное наименование	Международное непатентованное наименование (МНН) — уникальное наименование действующего вещества лекарственного средства, рекомендованное Всемирной организацией здравоохранения (ВОЗ).		
